CANAL	DETALLE_CANAL	FECHA_CONCERTACION	OFICINA_CITA	FECHA_ATENCION	TAREA	ATENDIDA
Internet	Fijo	04/04/2017	OFICINA DE GESTION DEL TAXI	05/04/2017	PERMISO MUNICIPAL DE CONDUCTOR DE AUTOTAXI	No
Internet	Fijo	12/06/2017	OFICINA DE GESTION DEL TAXI	14/06/2017	TARJETA DE IDENTIFICACION DEL CONDUCTOR	No
Internet	Fijo	12/06/2017	CSS SAN DIEGO	22/06/2017	PRESTACIONES SOCIALES	No
Internet	Fijo	23/02/2017	OFICINA DE GESTION DEL TAXI	28/02/2017	PERMISO MUNICIPAL DE CONDUCTOR DE AUTOTAXI	Si
Internet	Fijo	18/09/2017	OFICINA DE GESTION DEL TAXI	19/09/2017	PERMISO MUNICIPAL DE CONDUCTOR DE AUTOTAXI	No
Internet	Fijo	27/02/2017	OFICINA DE GESTION DEL TAXI	28/02/2017	TARJETA DE IDENTIFICACION DEL CONDUCTOR	Si
Internet	Fijo	27/02/2017	OFICINA DE GESTION DEL TAXI	28/02/2017	TARJETA DE IDENTIFICACION DEL CONDUCTOR	Si
Internet	Fijo	26/08/2017	OFICINA DE GESTION DEL TAXI	05/09/2017	TARJETA DE IDENTIFICACION DEL CONDUCTOR	Si
Internet	Fijo	25/08/2017	OFICINA DE GESTION DEL TAXI	28/08/2017	TARJETA DE IDENTIFICACION DEL CONDUCTOR	Si
Internet	Fijo	18/09/2017	OFICINA DE GESTION DEL TAXI	19/09/2017	TARJETA DE IDENTIFICACION DEL CONDUCTOR	No
Internet	Fijo	24/02/2017	OFICINA DE GESTION DEL TAXI	28/02/2017	PERMISO MUNICIPAL DE CONDUCTOR DE AUTOTAXI	Si
Internet	Fijo	27/03/2017	OFICINA DE GESTION DEL TAXI	28/03/2017	PERMISO MUNICIPAL DE CONDUCTOR DE AUTOTAXI	Si
Internet	Fijo	27/02/2017	OFICINA DE GESTION DEL TAXI	02/03/2017	PERMISO MUNICIPAL DE CONDUCTOR DE AUTOTAXI	Si
Internet	Fijo	26/08/2017	CSS MARIA ZAYAS	18/10/2017	RECURSOS DE MAYORES	Si
Internet	Fijo	28/08/2017	OFICINA DE GESTION DEL TAXI	28/08/2017	TARJETA DE IDENTIFICACION DEL CONDUCTOR	Si
Internet	Fijo	27/03/2017	CSS MARIA ZAYAS	11/04/2017	ATENCION SERVICIOS SOCIALES	Si
Internet	Fijo	16/05/2017	CSS SAN DIEGO	01/06/2017	PRESTACIONES SOCIALES	No
Internet	Fijo	27/02/2017	OFICINA DE GESTION DEL TAXI	28/02/2017	PERMISO MUNICIPAL DE CONDUCTOR DE AUTOTAXI	Si
Internet	Fijo	27/02/2017	OAC LATINA	08/03/2017	PADRON	Si
Internet	Fijo	16/05/2017	OAC LATINA	30/05/2017	PADRON	Si
Internet	Fijo	27/02/2017	OAC LATINA	28/02/2017	TARJETA AZUL	Si
Internet	Fijo	25/08/2017	OAC LATINA	12/09/2017	PADRON	Si
Internet	Fijo	18/09/2017	OAIC ALCALA 45	21/09/2017	CATASTRO TECNICO	Si
Internet	Fijo	18/09/2017	OAIC ALCALA 45	21/09/2017	CATASTRO TECNICO	Si
Internet	Fijo	27/02/2017	CMS INTERNACIONAL	21/03/2017	VACUNACION DE MENORES CON EDAD IGUAL O INFERIOR A	Si
Internet	Fijo	24/08/2017	CSS ENTREVIAS	25/08/2017	RECURSOS DE MAYORES	Si
Internet	Fijo	27/02/2017	OAIC ALCALA 45	27/02/2017	CATASTRO TECNICO	Si
Internet	Fijo	25/03/2017	CSS ENTREVIAS	07/04/2017	PRESTACIONES SOCIALES	Si
Internet	Fijo	04/04/2017	CMS INTERNACIONAL	18/05/2017	VACUNACION MAYORES DE 14 A¥OS	No
Internet	Fijo	05/04/2017	CMS INTERNACIONAL	24/05/2017	VACUNACION MAYORES DE 14 A¥OS	Si
Internet	Fijo	12/06/2017	CMS INTERNACIONAL	16/08/2017	VACUNACION MAYORES DE 14 A¥OS	No
Internet	Fijo	22/08/2017	CMS INTERNACIONAL	28/09/2017	VACUNACION MAYORES DE 14 A¥OS	Si
Internet	Fijo	24/08/2017	CMS INTERNACIONAL	28/08/2017	VACUNACION MAYORES DE 14 A¥OS	Si
Internet	Fijo	24/08/2017	CMS INTERNACIONAL	28/08/2017	VACUNACION MAYORES DE 14 A¥OS	No
Internet	Fijo	04/04/2017	CMS INTERNACIONAL	22/05/2017	VACUNACION MAYORES DE 14 A¥OS	Si
Internet	Fijo	15/09/2017	CMS INTERNACIONAL	26/09/2017	VACUNACION MAYORES DE 14 A¥OS	Si
Internet	Fijo	05/04/2017	OAC FUENCARRAL OF AUX EL PARDO	07/04/2017	PADRON	No
Internet	Fijo	24/08/2017	OAC LATINA	28/08/2017	PADRON	Si
Internet	Fijo	27/02/2017	OAIC ALCALA 45	29/03/2017	PLUSVALIA	Si
Internet	Fijo	05/04/2017	OAIC ALCALA 45	05/04/2017	PLUSVALIA	No
Internet	Fijo	05/04/2017	OAIC ALCALA 45	05/04/2017	PLUSVALIA	Si
Internet	Fijo	24/08/2017	OAC LATINA	25/08/2017	PADRON	Si
Internet	Fijo	16/05/2017	AZ TETUAN	18/05/2017	EMPLEO POR CUENTA PROPIA ASESORAMIENTO INDIVIDUAL	Si
Internet	Fijo	12/06/2017	OAC LATINA	20/06/2017	INFORMACION URBANISTICA GENERAL DE LAS OFICINAS DE	Si
Internet	Fijo	27/03/2017	AZ TETUAN	29/03/2017	EMPLEO POR CUENTA PROPIA ASESORAMIENTO INDIVIDUAL	Si
Internet	Fijo	12/06/2017	OAC LATINA	21/06/2017	INFORMACION URBANISTICA GENERAL DE LAS OFICINAS DE	Si
Internet	Fijo	12/06/2017	OAIC ALCALA 45	03/07/2017	PLUSVALIA	Si
Internet	Fijo	27/03/2017	OAIC ALCALA 45	12/04/2017	IBI/CATASTRO	Si
Internet	Fijo	27/02/2017	OAIC ALCALA 45	14/03/2017	PLUSVALIA	Si
Internet	Fijo	27/02/2017	OAIC ALCALA 45	14/03/2017	IMPUESTO VEHICULOS DE TRACCION MECANICA	Si
Internet	Fijo	27/02/2017	OAIC ALCALA 45	14/03/2017	PLUSVALIA	Si
Internet	Fijo	05/04/2017	OAIC ALCALA 45	10/04/2017	EJECUTIVA	No
Internet	Fijo	05/04/2017	OAIC ALCALA 45	06/04/2017	PLUSVALIA	Si
Internet	Fijo	27/02/2017	OAIC ALCALA 45	03/04/2017	PLUSVALIA	No
Internet	Fijo	05/04/2017	OAIC ALCALA 45	06/04/2017	PLUSVALIA	Si
Internet	Fijo	05/04/2017	OAIC ALCALA 45	06/04/2017	PLUSVALIA	Si
Internet	Fijo	27/02/2017	OAIC ALCALA 45	31/03/2017	TASA DE RESIDUOS	No
Internet	Fijo	27/02/2017	OAIC ALCALA 45	03/03/2017	PLUSVALIA	No
Internet	Fijo	07/06/2017	OAIC SACRAMENTO	09/06/2017	PLUSVALIA	Si
Internet	Fijo	07/06/2017	OAIC SACRAMENTO	09/06/2017	PLUSVALIA	Si
Internet	Fijo	10/05/2017	OAIC SACRAMENTO	19/05/2017	PLUSVALIA	Si
Internet	Fijo	13/09/2017	OAIC SACRAMENTO	14/09/2017	PLUSVALIA	Si
Internet	Fijo	07/06/2017	OAIC SACRAMENTO	08/06/2017	IBI/CATASTRO	Si
Internet	Fijo	27/10/2017	OAIC SACRAMENTO	30/10/2017	PLUSVALIA	No
Internet	Fijo	28/06/2017	OAC MONCLOA ARAVACA	04/07/2017	PADRON	Si
Internet	Fijo	30/10/2017	OAIC SACRAMENTO	31/10/2017	PLUSVALIA	Si
Internet	Fijo	13/09/2017	OAIC SACRAMENTO	14/09/2017	PLUSVALIA	Si
Internet	Fijo	18/08/2017	OAC SAN BLAS-CANILLEJAS	24/08/2017	PADRON	Si
Internet	Fijo	07/06/2017	OAIC SACRAMENTO	09/06/2017	PLUSVALIA	Si
Internet	Fijo	10/05/2017	OAIC SACRAMENTO	23/05/2017	PLUSVALIA	Si
Internet	Fijo	28/06/2017	OAIC HIERRO, 27 (LEGAZPI)	19/07/2017	PLUSVALIA	Si
Internet	Fijo	29/06/2017	OAIC SACRAMENTO	30/06/2017	PLUSVALIA	Si
Internet	Fijo	17/08/2017	OAC SAN BLAS-CANILLEJAS	24/08/2017	PADRON	Si
Internet	Fijo	17/08/2017	OAC SAN BLAS-CANILLEJAS	24/08/2017	PADRON	Si
Internet	Fijo	17/08/2017	OAC SAN BLAS-CANILLEJAS	24/08/2017	PADRON	No
Internet	Fijo	30/10/2017	OAIC SACRAMENTO	31/10/2017	PLUSVALIA	Si
Internet	Fijo	30/10/2017	OAIC SACRAMENTO	31/10/2017	IBI/CATASTRO	Si
Internet	Fijo	30/10/2017	OAIC SACRAMENTO	31/10/2017	PLUSVALIA	Si
Internet	Fijo	30/10/2017	OAIC SACRAMENTO	31/10/2017	PLUSVALIA	Si
Internet	Fijo	29/06/2017	OAC MONCLOA ARAVACA	06/07/2017	PADRON	Si
Internet	Fijo	10/05/2017	OAIC SACRAMENTO	12/05/2017	PLUSVALIA	Si
Internet	Fijo	23/08/2017	OAC SAN BLAS-CANILLEJAS	31/08/2017	IDENTIFICACION ELECTRONICA	Si
Internet	Fijo	12/05/2017	OAIC SACRAMENTO	17/05/2017	PLUSVALIA	Si
Internet	Fijo	12/05/2017	OAIC SACRAMENTO	17/05/2017	PLUSVALIA	Si
Internet	Fijo	14/09/2017	OAIC SACRAMENTO	21/09/2017	PLUSVALIA	No
Internet	Fijo	14/05/2017	OAIC SACRAMENTO	17/05/2017	PLUSVALIA	No
Internet	Fijo	08/06/2017	OAIC SACRAMENTO	27/06/2017	TASA DE RESIDUOS	No
						
Presencial	OAC VILLA DE VALLECA	21/09/2017	OMIC MORATALAZ	26/09/2017	INFORMACION Y NUEVAS RECLAMACIONES	Si
Presencial	OAC VILLA DE VALLECA	14/06/2017	OMIC VILLA VALLECAS	18/07/2017	INFORMACION Y NUEVAS RECLAMACIONES	Si
Presencial	OAC VILLA DE VALLECA	21/09/2017	OMIC VILLA VALLECAS	05/10/2017	INFORMACION Y NUEVAS RECLAMACIONES	Si
Presencial	OAC MONCLOA ARAVACA	10/04/2017	OAC CHAMBERI	11/04/2017	PADRON	Si
Presencial	OAC VILLA DE VALLECA	10/04/2017	OAC CHAMBERI	10/04/2017	PADRON	Si
Presencial	OAC SAN BLAS-CANILLE	03/07/2017	OAIC ALCALA 45	24/07/2017	EJECUTIVA	No
Presencial	OAC VILLA DE VALLECA	03/03/2017	OMIC VILLA VALLECAS	13/03/2017	INFORMACION Y NUEVAS RECLAMACIONES	Si
Presencial	OAC VILLA DE VALLECA	22/09/2017	OMIC VILLA VALLECAS	10/10/2017	INFORMACION Y NUEVAS RECLAMACIONES	Si
Presencial	OAC SAN BLAS-CANILLE	03/03/2017	OAC SAN BLAS-CANILLEJAS	06/03/2017	MADRIDMAYOR ES	Si
Presencial	OAC SAN BLAS-CANILLE	16/06/2017	OAC SAN BLAS-CANILLEJAS	19/06/2017	PADRON	Si
Presencial	OAC SAN BLAS-CANILLE	16/06/2017	OAC SAN BLAS-CANILLEJAS	19/06/2017	CAMBIO DOMICILIO PERMISO CIRCULACION/CONDUCCION	Si
Presencial	OAC VILLA DE VALLECA	20/06/2017	OAC VILLA DE VALLECAS	20/06/2017	PADRON	Si
Presencial	OAC VILLA DE VALLECA	01/09/2017	OAC VILLA DE VALLECAS	07/09/2017	PADRON	Si
Presencial	OAC VILLA DE VALLECA	01/09/2017	OAC VILLA DE VALLECAS	07/09/2017	MADRIDMAYOR ES	Si
Presencial	OAC VILLA DE VALLECA	16/06/2017	OAC VILLA DE VALLECAS	19/06/2017	TARJETA AZUL	No
Presencial	OAC VILLA DE VALLECA	22/09/2017	OAC VILLA DE VALLECAS	28/09/2017	TARJETA AZUL	Si
Presencial	OAC VILLA DE VALLECA	01/09/2017	OAC VILLA DE VALLECAS	06/09/2017	MADRIDMAYOR ES	Si
Presencial	OAC VILLA DE VALLECA	01/09/2017	OAC VILLA DE VALLECAS	06/09/2017	PADRON	Si
Presencial	OAC VILLA DE VALLECA	01/09/2017	OAC VILLA DE VALLECAS	06/09/2017	PADRON	No
Presencial	OAC VILLA DE VALLECA	01/09/2017	OAC VILLA DE VALLECAS	06/09/2017	PADRON	Si
Presencial	OAC VILLA DE VALLECA	16/06/2017	OAC VILLA DE VALLECAS	16/06/2017	PADRON	Si
Presencial	OAC SAN BLAS-CANILLE	01/09/2017	OAC SAN BLAS-CANILLEJAS	07/09/2017	MADRIDMAYOR ES	Si
Presencial	OAC SAN BLAS-CANILLE	01/09/2017	OAC SAN BLAS-CANILLEJAS	07/09/2017	PADRON	Si
Presencial	OAC SAN BLAS-CANILLE	22/05/2017	OAC SAN BLAS-CANILLEJAS	01/06/2017	PADRON	No
Presencial	OAC VILLA DE VALLECA	01/09/2017	OAC VILLA DE VALLECAS	08/09/2017	IDENTIFICACION ELECTRONICA	Si
Presencial	OAC SAN BLAS-CANILLE	01/09/2017	OAC SAN BLAS-CANILLEJAS	07/09/2017	PADRON	Si
Presencial	OAC SAN BLAS-CANILLE	01/09/2017	OAC SAN BLAS-CANILLEJAS	07/09/2017	PADRON	Si
Presencial	OAC SAN BLAS-CANILLE	22/09/2017	OAC SAN BLAS-CANILLEJAS	02/10/2017	PADRON	Si
Presencial	OAC VILLA DE VALLECA	16/06/2017	OAC VILLA DE VALLECAS	19/06/2017	MADRIDMAYOR ES	Si
Presencial	OAC VILLA DE VALLECA	22/05/2017	OAC VILLA DE VALLECAS	22/05/2017	PADRON	Si
Presencial	OAC VILLA DE VALLECA	16/06/2017	OAC VILLA DE VALLECAS	19/06/2017	PADRON	No
Presencial	OAC VILLA DE VALLECA	16/06/2017	OAC VILLA DE VALLECAS	16/06/2017	PADRON	Si
Presencial	OAC SAN BLAS-CANILLE	10/04/2017	OAC SAN BLAS-CANILLEJAS	17/04/2017	TARJETA AZUL	No
Presencial	OAC SAN BLAS-CANILLE	10/04/2017	OAC SAN BLAS-CANILLEJAS	17/04/2017	PADRON	No
Presencial	OAC VILLA DE VALLECA	01/09/2017	OAC VILLA DE VALLECAS	06/09/2017	PADRON	Si
Presencial	OAC MONCLOA ARAVACA	03/07/2017	OAC LATINA	04/07/2017	PADRON	Si
Presencial	OAC SAN BLAS-CANILLE	03/07/2017	OAC SAN BLAS-CANILLEJAS	04/07/2017	PADRON	Si
Presencial	EI MARIA DE MAEZTU	31/08/2017	EI MARIA DE MAEZTU	08/09/2017	DESARROLLO PROFESIONAL	Si
Presencial	EI MARIA DE MAEZTU	03/03/2017	EI MARIA DE MAEZTU	14/03/2017	DESARROLLO PROFESIONAL	No
Presencial	OAC SAN BLAS-CANILLE	02/03/2017	OAC SAN BLAS-CANILLEJAS	03/03/2017	PADRON	Si
Presencial	OAC SAN BLAS-CANILLE	22/05/2017	OAC SAN BLAS-CANILLEJAS	24/05/2017	PADRON	Si
Presencial	OAC VILLA DE VALLECA	22/09/2017	OAC VILLA DE VALLECAS	28/09/2017	PADRON	Si
Presencial	OAC VILLA DE VALLECA	01/09/2017	OAC VILLA DE VALLECAS	06/09/2017	PADRON	Si
Presencial	OAC VILLA DE VALLECA	01/09/2017	OAC VILLA DE VALLECAS	06/09/2017	PADRON	Si
Presencial	OAC VILLA DE VALLECA	03/03/2017	OAC VILLA DE VALLECAS	06/03/2017	TARJETA AZUL	Si
Presencial	OAC SAN BLAS-CANILLE	07/04/2017	OAC SAN BLAS-CANILLEJAS	11/04/2017	TARJETA AZUL	Si
Presencial	OAC SAN BLAS-CANILLE	02/03/2017	OAC SAN BLAS-CANILLEJAS	07/03/2017	PADRON	No
Presencial	OAC SAN BLAS-CANILLE	03/03/2017	OAC SAN BLAS-CANILLEJAS	06/03/2017	PADRON	Si
Presencial	OAC VILLA DE VALLECA	19/05/2017	OAC VILLA DE VALLECAS	22/05/2017	PADRON	Si
Presencial	OAC VILLA DE VALLECA	16/06/2017	OAC VILLA DE VALLECAS	19/06/2017	CAMBIO DOMICILIO PERMISO CIRCULACION/CONDUCCION	Si
Presencial	OAC VILLA DE VALLECA	16/06/2017	OAC VILLA DE VALLECAS	19/06/2017	PADRON	Si
Presencial	OAC SAN BLAS-CANILLE	22/09/2017	OAC SAN BLAS-CANILLEJAS	29/09/2017	PADRON	No
Presencial	OAC VILLA DE VALLECA	22/05/2017	OAC VILLA DE VALLECAS	24/05/2017	PADRON	Si
Presencial	OAC SAN BLAS-CANILLE	16/06/2017	OAC SAN BLAS-CANILLEJAS	19/06/2017	PADRON	Si
Presencial	OAC SAN BLAS-CANILLE	22/09/2017	OAC SAN BLAS-CANILLEJAS	02/10/2017	PADRON	No
Presencial	OAC SAN BLAS-CANILLE	22/09/2017	OAC SAN BLAS-CANILLEJAS	02/10/2017	PADRON	No
Presencial	OAC VILLA DE VALLECA	22/05/2017	OAC VILLA DE VALLECAS	22/05/2017	IDENTIFICACION ELECTRONICA	No
Presencial	OAC VILLA DE VALLECA	19/06/2017	OAC VILLA DE VALLECAS	19/06/2017	PADRON	No
Presencial	OAC SAN BLAS-CANILLE	10/04/2017	OAC SAN BLAS-CANILLEJAS	17/04/2017	PADRON	No
Presencial	OAC VILLA DE VALLECA	01/09/2017	OAC VILLA DE VALLECAS	07/09/2017	MADRIDMAYOR ES	Si
Presencial	OAC VILLA DE VALLECA	01/09/2017	OAC VILLA DE VALLECAS	07/09/2017	PADRON	Si
Presencial	OAC VILLA DE VALLECA	01/09/2017	OAC VILLA DE VALLECAS	07/09/2017	PADRON	Si
Presencial	OAC VILLA DE VALLECA	01/09/2017	OAC VILLA DE VALLECAS	07/09/2017	PADRON	Si
Presencial	OAC VILLA DE VALLECA	22/05/2017	OAC VILLA DE VALLECAS	23/05/2017	PADRON	Si
Presencial	OAC VILLA DE VALLECA	01/09/2017	OAC VILLA DE VALLECAS	12/09/2017	PADRON	Si
Presencial	OAC VILLA DE VALLECA	20/06/2017	OAC VILLA DE VALLECAS	20/06/2017	PADRON	Si
Presencial	OAC VILLA DE VALLECA	20/06/2017	OAC VILLA DE VALLECAS	20/06/2017	PADRON	Si
Presencial	OAC SAN BLAS-CANILLE	22/05/2017	OAC SAN BLAS-CANILLEJAS	24/05/2017	PADRON	Si
Presencial	OAC SAN BLAS-CANILLE	01/09/2017	OAC SAN BLAS-CANILLEJAS	06/09/2017	TARJETA AZUL	Si
Presencial	OAC SAN BLAS-CANILLE	03/03/2017	OAC SAN BLAS-CANILLEJAS	06/03/2017	PADRON	Si
Presencial	OAC SAN BLAS-CANILLE	03/03/2017	OAC SAN BLAS-CANILLEJAS	06/03/2017	PADRON	Si
Presencial	OAC SAN BLAS-CANILLE	03/03/2017	OAC SAN BLAS-CANILLEJAS	06/03/2017	PADRON	Si
Presencial	OAC VILLA DE VALLECA	01/09/2017	OAC VILLA DE VALLECAS	06/09/2017	TARJETA AZUL	Si
Presencial	OAC VILLA DE VALLECA	01/09/2017	OAC VILLA DE VALLECAS	07/09/2017	PADRON	Si
Presencial	OAC MONCLOA ARAVACA	14/06/2017	OAC MORATALAZ	14/06/2017	PADRON	Si
Presencial	OAC SAN BLAS-CANILLE	03/03/2017	AGENCIA DE ACTIVIDADES	07/03/2017	INFORMACION URBANISTICA ESPECIALIZADA DE LA AGENCI	No
Presencial	OAC SAN BLAS-CANILLE	10/04/2017	OAC SAN BLAS-CANILLEJAS	12/04/2017	PADRON	No
Presencial	OAC SAN BLAS-CANILLE	01/09/2017	OAC SAN BLAS-CANILLEJAS	06/09/2017	PADRON	Si
Presencial	OAC VILLA DE VALLECA	22/09/2017	OAC VILLA DE VALLECAS	28/09/2017	PADRON	Si
Presencial	OAC VILLA DE VALLECA	22/09/2017	OAC VILLA DE VALLECAS	28/09/2017	PADRON	No
Presencial	OAC VILLA DE VALLECA	03/03/2017	OAC VILLA DE VALLECAS	07/03/2017	TARJETA AZUL	Si
Presencial	OAC VILLA DE VALLECA	19/06/2017	OAC VILLA DE VALLECAS	20/06/2017	PADRON	Si
Presencial	OAC SAN BLAS-CANILLE	01/09/2017	OAC SAN BLAS-CANILLEJAS	07/09/2017	TARJETA AZUL	Si
Presencial	OAC VILLA DE VALLECA	02/03/2017	OAC VILLA DE VALLECAS	03/03/2017	PADRON	Si
Presencial	OAC VILLA DE VALLECA	18/05/2017	OAC VILLA DE VALLECAS	19/05/2017	PADRON	No
Presencial	OAC SAN BLAS-CANILLE	01/09/2017	OAC SAN BLAS-CANILLEJAS	06/09/2017	PADRON	Si
Presencial	OAC SAN BLAS-CANILLE	03/03/2017	OAC SAN BLAS-CANILLEJAS	08/03/2017	PADRON	Si
Presencial	OAC SAN BLAS-CANILLE	01/09/2017	OAC SAN BLAS-CANILLEJAS	06/09/2017	PADRON	Si
Presencial	OAC SAN BLAS-CANILLE	01/09/2017	OAC SAN BLAS-CANILLEJAS	07/09/2017	PADRON	Si
Presencial	OAC VILLA DE VALLECA	22/09/2017	OAC VILLA DE VALLECAS	29/09/2017	PADRON	Si
Presencial	OAC VILLA DE VALLECA	22/09/2017	OAC VILLA DE VALLECAS	28/09/2017	PADRON	Si
Presencial	OAC VILLA DE VALLECA	22/09/2017	OAC VILLA DE VALLECAS	28/09/2017	PADRON	Si
Presencial	OAC VILLA DE VALLECA	22/09/2017	OAC VILLA DE VALLECAS	28/09/2017	PADRON	Si
Presencial	OAC VILLA DE VALLECA	19/06/2017	OAC VILLA DE VALLECAS	20/06/2017	PADRON	Si
Presencial	OAC VILLA DE VALLECA	20/06/2017	OAC VILLA DE VALLECAS	20/06/2017	IDENTIFICACION ELECTRONICA	Si
Presencial	OAC VILLA DE VALLECA	31/08/2017	OAC VILLA DE VALLECAS	07/09/2017	MADRIDMAYOR ES	Si
Presencial	OAC VILLA DE VALLECA	01/09/2017	OAC VILLA DE VALLECAS	06/09/2017	CAMBIO DOMICILIO PERMISO CIRCULACION/CONDUCCION	Si
Presencial	OAC VILLA DE VALLECA	16/06/2017	OAC VILLA DE VALLECAS	21/06/2017	IDENTIFICACION ELECTRONICA	Si
Presencial	OAC SAN BLAS-CANILLE	30/08/2017	OAC SAN BLAS-CANILLEJAS	05/09/2017	PADRON	No
Presencial	OAC VILLA DE VALLECA	03/03/2017	OAC VILLA DE VALLECAS	06/03/2017	MADRIDMAYOR ES	Si
Presencial	OAC VILLA DE VALLECA	22/09/2017	OAC VILLA DE VALLECAS	02/10/2017	PADRON	Si
						
Telefonico	10	17/10/2017	OAIC RAMON POWER 24	24/10/2017	PLUSVALIA	Si
Telefonico	10	17/10/2017	OAIC RAMON POWER 24	24/10/2017	IBI/CATASTRO	Si
Telefonico	10	17/10/2017	OAIC RAMON POWER 24	19/10/2017	PLUSVALIA	Si
Telefonico	10	02/08/2017	OAC VICALVARO	07/08/2017	PADRON	No
Telefonico	10	30/07/2017	OAC CHAMARTIN	08/08/2017	PADRON	Si
Telefonico	10	28/09/2017	AGENCIA DE ACTIVIDADES	02/10/2017	INFORMACION URBANISTICA ESPECIALIZADA DE LA AGENCI	No
Telefonico	10	03/08/2017	OAC CENTRO	10/08/2017	PADRON	No
Telefonico	10	03/08/2017	CSS MARTA ESQUIVIAS TALLADA	30/08/2017	RECURSOS DE MAYORES	Si
Telefonico	10	01/08/2017	OAC VICALVARO	07/08/2017	MADRIDMAYOR ES	Si
Telefonico	10	01/08/2017	OAC CHAMBERI	18/08/2017	PADRON	No
Telefonico	10	02/08/2017	OAC CHAMBERI	11/08/2017	PADRON	Si
Telefonico	10	03/08/2017	MOVILIDAD REDUCIDA	03/10/2017	TARJETA DE ESTACIONAMIENTO PARA PERSONAS CON MOVIL	Si
Telefonico	10	03/08/2017	MOVILIDAD REDUCIDA	03/10/2017	TARJETA DE ESTACIONAMIENTO PARA PERSONAS CON MOVIL	Si
Telefonico	10	02/08/2017	OAIC RAIMUNDO FDEZ. VILLAVERDE 32	08/09/2017	EJECUTIVA	No
Telefonico	10	11/10/2017	OAIC RAIMUNDO FDEZ. VILLAVERDE 32	17/10/2017	PLUSVALIA	Si
Telefonico	10	17/10/2017	OAIC RAIMUNDO FDEZ. VILLAVERDE 32	25/10/2017	IBI/CATASTRO	No
Telefonico	10	17/10/2017	OAIC RAIMUNDO FDEZ. VILLAVERDE 32	18/10/2017	IBI/CATASTRO	Si
Telefonico	10	17/10/2017	OAIC RAIMUNDO FDEZ. VILLAVERDE 32	18/10/2017	PLUSVALIA	Si
Telefonico	10	02/08/2017	OAIC RAIMUNDO FDEZ. VILLAVERDE 32	05/09/2017	PLUSVALIA	Si
Telefonico	10	02/08/2017	OAIC RAIMUNDO FDEZ. VILLAVERDE 32	05/09/2017	PLUSVALIA	Si
Telefonico	10	03/08/2017	OFICINA GESTION DE MULTAS	10/08/2017	MULTAS TRAFICO CONSULTA DE EXPEDIENTES	Si
Telefonico	10	02/08/2017	OFICINA GESTION DE MULTAS	04/08/2017	MULTAS TRAFICO CONSULTA DE EXPEDIENTES	Si
Telefonico	10	03/08/2017	OFICINA GESTION DE MULTAS	04/08/2017	MULTAS TRAFICO CONSULTA DE EXPEDIENTES	Si
Telefonico	10	31/07/2017	OFICINA GESTION DE MULTAS	09/08/2017	MULTAS TRAFICO CONSULTA DE EXPEDIENTES	Si
Telefonico	10	01/08/2017	OFICINA GESTION DE MULTAS	16/08/2017	MULTAS TRAFICO CONSULTA DE EXPEDIENTES	No
Telefonico	10	01/08/2017	AGENCIA DE ACTIVIDADES	22/08/2017	DISCIPLINA Y SANCIONADORES DE LA AGENCIA DE ACTIVI	Si
Telefonico	10	28/07/2017	AGENCIA DE ACTIVIDADES	01/08/2017	INFORMACION URBANISTICA ESPECIALIZADA DE LA AGENCI	Si
Telefonico	10	31/07/2017	AGENCIA DE ACTIVIDADES	22/08/2017	INFORMACION URBANISTICA ESPECIALIZADA DE LA AGENCI	Si
